transaction_id	project_id	transaction_original_date	transaction_isodate	transaction_year	transaction_value_code	transaction_currency	transaction_value
ce8c06ba-0c58-462f-ac09-27e8b014421d	P064844	12/16/03	2003-12-16	2003	C	USD	40000000
2205dd7c-d5ff-4495-91b8-2a8f653bade9	P114463	03/04/10	2010-03-04	2010	C	USD	13700000
b0f23f2c-8f64-4fdb-afd6-a8181b941a16	P069183	08/19/03	2003-08-19	2003	C	USD	40260000
3a9f4dd2-017b-470a-9907-6bdc99929a2f	P111366	09/04/08	2008-09-04	2008	C	USD	15000000
6e26638c-962f-4ead-8a64-36ae11d1caa7	P050776	05/30/00	2000-05-30	2000	C	USD	50000000
83a094bd-dcb2-4d1c-83a6-c24c1935d8b3	P115664	11/13/09	2009-11-13	2009	C	USD	0
7b863397-91c8-4434-a13d-4dad6c401546	P081484	10/07/04	2004-10-07	2004	C	USD	50000000
8cdff59a-e766-4b4e-b06f-d1f7b68d673f	P087970	06/21/07	2007-06-21	2007	C	USD	145000000
38fb2040-4d6c-443a-aaca-6d571e26f173	P059565	12/20/00	2000-12-20	2000	C	USD	69600000
28f1a670-65b0-491c-8743-e1309df7042e	P060575	01/18/01	2001-01-18	2001	C	USD	757580000
5ae09b18-a010-405f-97d8-616880916982	P092631	06/24/08	2008-06-24	2008	C	USD	150000000
2302a321-52bd-4cda-917a-6e75fe7b7832	P100084	03/24/08	2008-03-24	2008	C	USD	6000000
19ffda56-9418-4a79-ac72-4305031d649e	P123501	06/07/11	2011-06-07	2011	C	USD	27400000
985be1cd-3e59-42fa-a3b4-d47e5b806947	P072123	11/14/02	2002-11-14	2002	C	USD	250000000
689e0da0-4b46-4a60-9895-fd03ec2fa5e4	P073763	12/21/04	2004-12-21	2004	C	USD	112640000
af847e68-1cd6-4ce8-a116-41624b6fb898	P081436	12/06/05	2005-12-06	2005	C	USD	49300000
8ad5111c-6fe2-43a7-af59-49de58321f3d	P087003	03/15/05	2005-03-15	2005	C	USD	25000000
b2a3508c-58d3-4e8f-9d82-1bd3ed154655	P083923	06/21/05	2005-06-21	2005	C	USD	32000000
bd01c4c2-5848-45d9-9ded-73193c9375f7	P086807	06/21/05	2005-06-21	2005	C	USD	17500000
eedf0c5e-ae7e-4262-a1b9-7c13ad7e7280	P118023	05/25/10	2010-05-25	2010	C	USD	241600000
99943a37-c9dc-4fb4-a8d5-090a5cdf58d9	P118830	04/29/10	2010-04-29	2010	C	USD	117700000
960b3607-fedc-446b-8a1b-e664fe68350b	P073313	01/30/01	2001-01-30	2001	C	USD	5000000
1ef16eeb-69d2-47d0-be2b-f4076b9d4842	P077977	09/23/04	2004-09-23	2004	C	USD	399500000
d6e04c1a-faa2-43d2-bba1-153b0aad8f66	P071881	11/21/01	2001-11-21	2001	C	USD	3300000
f230af8b-9a8b-4544-b47f-f8f78c5da208	P074968	06/11/02	2002-06-11	2002	C	USD	500000000
2bc3cfe1-fa01-403e-b5ff-f424e539da44	P105076	10/11/07	2007-10-11	2007	C	USD	75000000
a0d44220-643f-4d98-9f4a-84a7ac8d0323	P109722	04/29/08	2008-04-29	2008	C	USD	10000000
d8dfcb6b-b1da-455a-b7b4-d05250f6373a	P125105	03/29/11	2011-03-29	2011	C	USD	125000000
db179ad4-9368-40e9-90c9-47b0e23a7ce6	P088879	05/03/05	2005-05-03	2005	C	USD	5000000
9542e72d-bed4-4208-8c5b-445bdc7f7c13	P079628	04/21/05	2005-04-21	2005	C	USD	16000000
9839be7b-1f2e-438f-9554-cd5d000f99d6	P083597	11/04/03	2003-11-04	2003	C	USD	14600000
74be5cc2-bf78-43ab-920f-ad8583a2677c	P084890	06/06/03	2003-06-06	2003	C	USD	3310000
3be55a40-5e08-4f78-bcc9-2156b1dd3326	P103773	05/24/07	2007-05-24	2007	C	USD	15000000
2cd4e72d-5d04-4852-9507-b42bf0673851	P114822	11/05/09	2009-11-05	2009	C	USD	9000000
b86ebdd2-00f4-46f6-be47-ef925b2eb7eb	P115638	09/10/09	2009-09-10	2009	C	USD	200000000
d839b5c4-0293-4b04-bf68-dc5c8b1612bb	P106433	03/25/08	2008-03-25	2008	C	USD	9000000
492873e6-8a99-4fde-b63c-0ecc4f47df30	P084315	03/11/04	2004-03-11	2004	C	USD	13300000
e0488ced-dced-4867-887a-17ac2d09898b	P070950	06/01/04	2004-06-01	2004	C	USD	20000000
ab88bc44-9c54-4bc5-8043-5ed5bec75496	P073036	11/04/03	2003-11-04	2003	C	USD	35650000
1a9cd8b9-d0c8-4500-92f1-efe7d6b5ecb5	P088243	12/15/05	2005-12-15	2005	C	USD	200000000
ee827a9a-3208-45cb-9b18-9554bf599548	P124859	05/19/11	2011-05-19	2011	C	USD	7100000
25309995-bae9-4370-92ad-10ebf26fa17c	P113241	03/30/10	2010-03-30	2010	C	USD	115800000
a8698d1c-0bb0-41d6-9c9e-da7f35fd8ca4	P081255	06/27/06	2006-06-27	2006	C	USD	100000000
ae2b7c98-638a-426c-82cc-905697e3b1c9	P077012	09/17/02	2002-09-17	2002	C	USD	100000000
0fec2bc2-0c02-44b1-9e21-252f17a832c8	P125285	06/30/11	2011-06-30	2011	C	USD	36000000
692eb54b-5e8b-4749-acda-3cfd5e68a4c9	P084437	06/24/08	2008-06-24	2008	C	USD	50000000
ae7baddb-45bc-4d3d-923a-c5a0203d0505	P082716	06/17/03	2003-06-17	2003	C	USD	10000000
854afef5-978b-468c-9a2f-162c548ca7a1	P092949	08/24/06	2006-08-24	2006	C	USD	17000000
98ddba9b-0c1a-4e6e-9197-2c6ffacf54cf	P091828	09/24/09	2009-09-24	2009	C	USD	50000000
d127edd0-706c-47f7-a625-f214a6bdf599	P105649	08/02/07	2007-08-02	2007	C	USD	12000000
f06371d9-133a-49a9-a1cf-0b1a942a2108	P078838	02/12/04	2004-02-12	2004	C	USD	12500000
dc8b240f-ec86-4d93-80d5-1c81eadaedff	P102576	11/28/06	2006-11-28	2006	C	USD	82000000
73bd41ff-7b9a-4a1e-bf69-ad0a697ecee7	P101653	03/18/08	2008-03-18	2008	C	USD	600000000
e3482829-3b89-4e3e-974d-376238499417	P107797	06/17/08	2008-06-17	2008	C	USD	120000000
9341e5fe-d442-4213-abfa-d4eaeddac57f	P073370	09/07/04	2004-09-07	2004	C	USD	394020000
260939c2-5ced-41b7-8e37-2d94cb57d107	P094199	01/15/08	2008-01-15	2008	C	USD	18900000
a06bb075-80f8-4c12-9079-125d37bc5c6e	P074042	06/04/02	2002-06-04	2002	C	USD	43530000
38a40cea-5799-40d6-8435-7d99f50d898b	P074591	04/29/04	2004-04-29	2004	C	USD	18000000
fec115ae-5f7c-44a2-8604-bb2e1f24a09d	P122251	12/20/10	2010-12-20	2010	C	USD	80000000
b72b11b4-f874-45bb-a8ef-45e12439edd7	P103022	05/14/09	2009-05-14	2009	C	USD	540000000
5d917df9-f1d9-4a32-91af-935f095561ff	P099376	09/25/07	2007-09-25	2007	C	USD	80000000
20dd55c5-326d-4c4d-8fd7-2925068a00ce	P110773	06/26/08	2008-06-26	2008	C	USD	5000000
2fd5b686-de68-4105-aa2a-49033da7586a	P115565	06/29/10	2010-06-29	2010	C	USD	80000000
1a338a71-6e6d-4347-baf9-68eab66bb7ca	P083919	07/29/04	2004-07-29	2004	C	USD	25000000
123b2e61-3dd6-430d-976b-412b4018b236	P090887	06/27/06	2006-06-27	2006	C	USD	29200000
