project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
P111059	1515917	4	Govĭ-Altay Aymag	45.5	96	ADM1	MN|10	Mongolia|Govĭ-Altay
P111059	2055112	4	Govĭ-Sumber	46.5	108.5	ADM1	MN|24	Mongolia|Govĭ-Sumber
P111059	2030783	4	Hentiy Aymag	48	110.5	ADM1	MN|11	Mongolia|Hentiy
P111059	1515696	4	Hovd	47	92.5	ADM1	MN|12	Mongolia|Hovd
P111059	2030469	4	Hövsgöl Aymag	50	100	ADM1	MN|13	Mongolia|Hövsgöl
P111059	2029969	8	Mongolia	46	105	PCLI	MN|00	Mongolia
P111059	2029669	4	Ömnögovi Province	43	104	ADM1	MN|14	Mongolia|Ömnögovĭ
P111059	2055113	4	Orhon Aymag	49.06306	104.1627	ADM1	MN|25	Mongolia|Orhon
P111059	2029546	4	Övörhangay Aymag	46	102.5	ADM1	MN|15	Mongolia|Övörhangay
P111059	2029432	4	Selenge Aymag	49.66667	106.41667	ADM1	MN|16	Mongolia|Selenge
P111059	2029155	4	Sühbaatar Aymag	46.25	113.5	ADM1	MN|17	Mongolia|Sühbaatar
P111059	2028849	4	Töv Aymag	47.5	106.5	ADM1	MN|18	Mongolia|Central Aimak
P111059	1514967	4	Uvs Aymag	49.5	93	ADM1	MN|19	Mongolia|Uvs
P111064	2365267	1	Lomé	6.13748	1.21227	PPLC	TG|24	Togo|Maritime
P111064	2363686	8	Togolese Republic	8.66667	1.08333	PCLI	TG|00	Togo
P111097	226074	6	Republic of Uganda	1.25	32.5	PCLI	UG|00	Uganda
P111117	2306129	1	Abura	5.28381	-1.11694	PPL	GH|00	Ghana
P111117	7648922	3	Accra	5.586	-0.186	ADM2	GH|01|7648922	Ghana|Greater Accra|Accra
P111117	7648923	3	Adaklu-Anyigbe	6.55	0.7	ADM2	GH|08|7648923	Ghana|Volta|Adaklu-Anyigbe
P111117	7648924	3	Adansi North	6.28333	-1.51667	ADM2	GH|02|7648924	Ghana|Ashanti|Adansi North
P111117	7648925	3	Adansi South	6.06667	-1.4	ADM2	GH|02|7648925	Ghana|Ashanti|Adansi South
P111117	7648926	3	Adenta	5.71417	-0.15418	ADM2	GH|01|7648926	Ghana|Greater Accra|Adenta
P111117	7648927	3	Afigya-Kwabre District	6.98644	-1.55794	ADM2	GH|02|7648927	Ghana|Ashanti|Afigya-Kwabre District
P111117	7648928	3	Agona East	5.65	-0.75	ADM2	GH|04|7648928	Ghana|Central|Agona East
P111117	7648930	3	Ahafo Ano North	7	-2.16667	ADM2	GH|02|7648930	Ghana|Ashanti|Ahafo Ano North
P111117	7648931	3	Ahafo Ano South	6.91784	-1.95763	ADM2	GH|02|7648931	Ghana|Ashanti|Ahafo Ano South
P111117	7648932	3	Ahanta West	4.84952	-2.00979	ADM2	GH|09|7648932	Ghana|Western|Ahanta West
P111117	7648933	3	Ajumako/Enyan/Essiam	5.41667	-0.95	ADM2	GH|04|7648933	Ghana|Central|Ajumako/Enyan/Essiam
P111117	7648934	3	Akatsi District	6.197	0.799	ADM2	GH|08|7648934	Ghana|Volta|Akatsi District
P111117	7648935	3	Akuapim North	5.96667	-0.08333	ADM2	GH|05|7648935	Ghana|Eastern|Akuapim North
P111117	7648936	3	Akuapim South	5.852	-0.277	ADM2	GH|05|7648936	Ghana|Eastern|Akuapim South
P111117	7648937	3	Akyemansa	6.16667	-1.15	ADM2	GH|05|7648937	Ghana|Eastern|Akyemansa
P111117	7648938	3	Amansie Central	6.25421	-1.7507	ADM2	GH|02|7648938	Ghana|Ashanti|Amansie Central
P111117	7648939	3	Amansie West	6.46667	-1.88333	ADM2	GH|02|7648939	Ghana|Ashanti|Amansie West
P111117	7648941	3	Aowin/Suaman	5.81667	-2.81667	ADM2	GH|09|7648941	Ghana|Western|Aowin/Suaman
P111117	7648942	3	Asante Akim North	6.61667	-1.21667	ADM2	GH|02|7648942	Ghana|Ashanti|Asante Akim North
P111117	7648943	3	Asante Akim South District	6.478	-1.084	ADM2	GH|02|7648943	Ghana|Ashanti|Asante Akim South District
P111117	7648944	3	Ashaiman	5.7	-0.03333	ADM2	GH|01|7648944	Ghana|Greater Accra|Ashaiman
P111117	7648945	3	Asikuma/Odoben/Brakwa	5.58333	-1	ADM2	GH|04|7648945	Ghana|Central|Asikuma/Odoben/Brakwa
P111117	7647504	3	Assin South	5.4764	-1.2891	ADM2	GH|04|7647504	Ghana|Central|Assin South
P111117	7648946	3	Assin North	5.7	-1.28333	ADM2	GH|04|7648946	Ghana|Central|Assin North
P111117	7648947	3	Asunafo North	6.81568	-2.69478	ADM2	GH|03|7648947	Ghana|Brong-Ahafo|Asunafo North
P111117	7648948	3	Asunafo South	6.68333	-2.45	ADM2	GH|03|7648948	Ghana|Brong-Ahafo|Asunafo South
P111117	7648949	3	Asuogyaman	6.20308	0.08167	ADM2	GH|05|7648949	Ghana|Eastern|Asuogyaman
P111117	7648950	3	Asutifi	6.96667	-2.38333	ADM2	GH|03|7648950	Ghana|Brong-Ahafo|Asutifi
P111117	7647530	3	Atiwa	6.2797	-0.63937	ADM2	GH|05|7647530	Ghana|Eastern|Atiwa
